종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"466400","1Q 25-08 회사채(A+이상)액티브","109055","5","0.00","109060.20","109090","109090","109055","100","10905875","112544760000","0","1032000","KIS 2025-08만기형 크레딧 A+이상 지수(총수익)","123.31","0.02","0.02"
"491610","1Q CD금리액티브(합성)","102515","15","0.01","102568.57","102510","102515","102510","1033","105895597","260798160000","0","2544000","KIS 하나 CD금리 총수익지수","11513.82","2.37","0.02"
"451060","1Q K200액티브","14030","-10","-0.07","14040.29","14075","14085","13940","20090","281453570","143106000000","0","10200000","코스피 200","431.10","-0.54","-0.13"
"463290","1Q 단기금융채액티브","107875","5","0.00","107876.31","107875","107880","107870","8352","900996041","244121125000","0","2263000","MK 머니마켓 지수(총수익)","14336.73","2.83","0.02"
"479080","1Q 머니마켓액티브","52450","5","0.01","52448.14","52450","52450","52445","82454","4324518967","867103400000","0","16532000","KIS-하나 MMF 지수(총수익)","117.10","0.02","0.02"
"0026S0","1Q 미국S&P500","10720","85","0.80","10686.54","10685","10730","10675","209264","2237092729","91120000000","0","8500000","S&P 500","6296.79","-0.57","-0.01"
"0052S0","1Q 미국S&P500미국채혼합50액티브","10545","45","0.43","10514.07","10520","10555","10505","285701","3005853981","28471500000","0","2700000","S&P 500 and Short-Term Treasury 50/50 Blend Index","261.17","0.03","0.01"
"0069M0","1Q 미국나스닥100","10740","75","0.70","10716.29","10730","10750","10690","167464","1794095991","23628000000","0","2200000","NASDAQ 100","23065.47","-15.58","-0.07"
"0004G0","1Q 미국배당TOP30","9050","150","1.69","9027.48","9050","9055","9005","7806","70492343","5430000000","0","600000","Solactive U.S. Dividend TOP 30 Index PR","4190.57","-19.35","-0.46"
"0017Y0","1Q 종합채권(AA-이상)액티브","101010","80","0.08","101050.05","100980","101010","100975","3","302965","35151480000","0","348000","KIS 종합채권형 지수(AA-이상)(총수익)","126.71","0.20","0.16"
"0052T0","1Q 중단기회사채(A-이상)액티브","50165","0","0.00","50173.03","0","0","0","0","0","121298970000","0","2418000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","117.30","0.05","0.04"
"472350","1Q 차이나H(H)","16250","135","0.84","16284.42","16245","16305","16210","86","1396160","16250000000","0","1000000","Hang Seng China H","8922.57","57.05","0.64"
"495330","1Q 코리아밸류업","12525","-30","-0.24","12518.41","12865","12865","12440","10954","137067080","31312500000","0","2500000","코리아 밸류업 지수","1276.85","-6.17","-0.48"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","51550","20","0.04","51545.47","51550","51560","51540","1229","63354945","143205900000","0","2778000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11784.12","4.88","0.04"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10680","10","0.09","10676.75","10670","10680","10670","3075","32827565","101780400000","0","9530000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","120.15","0.02","0.02"
"105190","ACE 200","43540","-50","-0.11","43565.31","43645","43720","43300","121235","5269601620","496356000000","0","11400000","코스피 200","431.10","-0.54","-0.13"
"332500","ACE 200TR","28785","-60","-0.21","28797.29","28845","28920","28640","15009","432324943","46056000000","0","1600000","코스피 200 TR","563.80","-0.71","-0.13"
"461270","ACE 26-06 회사채(AA-이상)액티브","11120","0","0.00","11126.70","11120","11120","11115","35563","395291635","195267200000","0","17560000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","122.79","0.02","0.02"
